user_id,property_id,score,clicks,favorito,contacto
1,2,0.688,2,0,0
1,9,0.5758,1,0,0
1,10,0.9638,1,1,1
1,11,0.7653,3,0,0
1,12,0.828,4,0,0
1,13,0.425,1,1,0
1,15,0.6434,1,0,0
1,16,0.4,1,0,0
1,18,0.7565,1,1,1
1,19,0.5189,2,0,0
1,20,0.9247,2,0,0
1,23,0.7537,2,1,1
1,24,0.7602,1,1,1
1,28,0.5926,1,1,0
1,33,0.7107,1,1,1
1,35,0.405,1,0,0
1,36,0.6913,1,0,0
1,38,0.6568,1,0,0
1,40,0.8408,2,1,1
1,41,0.6687,1,1,0
1,42,0.7361,3,1,1
1,44,0.475,1,0,0
1,46,0.55,2,0,0
1,47,0.814,4,0,0
1,49,0.555,2,0,0
1,55,0.78,2,1,0
1,57,0.6602,1,0,0
1,59,0.48,1,0,0
1,64,0.4,1,0,0
1,65,0.6563,1,0,0
1,70,0.5543,2,0,0
1,71,0.7166,3,1,1
1,72,0.7216,2,1,1
1,75,0.5945,1,0,0
1,76,0.5374,2,0,0
1,77,0.705,1,1,0
1,79,0.8464,2,0,0
1,80,0.6756,1,1,0
1,81,0.6221,2,0,0
1,86,0.625,1,0,0
1,87,0.48,1,0,0
1,89,0.6837,1,0,0
1,93,0.754,1,1,0
1,96,0.63,1,1,0
1,98,0.48,2,0,0
1,99,0.5906,1,0,0
1,102,0.5548,1,0,0
1,103,0.7338,4,1,0
1,107,0.5603,1,1,0
1,115,0.6406,1,1,0
1,117,0.63,2,0,0
1,119,0.6478,1,1,0
1,121,0.475,2,1,0
1,122,0.4,1,1,0
1,125,0.5917,2,0,0
1,128,0.705,3,1,1
1,131,0.7309,4,1,0
1,135,0.5791,1,0,0
1,137,0.5819,1,0,0
1,138,0.5733,2,1,0
1,139,0.82,4,1,0
1,140,0.7638,3,1,1
1,141,0.55,1,0,0
1,144,0.5121,2,0,0
1,147,0.6719,1,0,0
2,2,0.4598,1,0,0
2,9,0.5382,1,1,0
2,10,0.8022,1,0,0
2,11,0.5324,1,1,0
2,12,0.5916,1,0,0
2,15,0.4326,1,0,0
2,16,0.5,2,0,0
2,18,0.5113,1,0,0
2,19,0.4455,2,0,0
2,20,0.6749,1,0,0
2,22,0.4,2,0,0
2,23,0.5029,1,0,0
2,24,0.514,2,0,0
2,26,0.45,2,0,0
2,28,0.7945,1,1,1
2,30,0.4,2,0,0
2,31,0.4,2,1,0
